ID,Frequency,Dutch,Eng
1,10006772,ik,I
2,9001167,je,you
3,7081845,het,the
4,6792979,de,the
5,6007618,dat,Which
6,5657678,is,is
7,5039260,een,An
8,4772886,niet,not
9,3722568,en,and
10,2941504,van,by
11,2769802,wat,what
12,2691355,we,we
13,2588813,in,in
14,2456905,ze,they
15,2329687,hij,he
16,2321454,te,at
17,2205527,zijn,to be
18,2144681,op,on
19,2126469,maar,but
20,2044255,er,there
21,1856605,met,of
22,1855375,voor,in front of
23,1846895,die,That
24,1769182,heb,have
25,1761825,me,me
26,1684935,als,as
27,1493229,was,used to be
28,1382175,ben,am
29,1321308,om,to
30,1258367,dit,this
31,1224703,mijn,mine
32,1182865,aan,at
33,1177214,u,you
34,1134894,dan,then
35,1131929,n,n
36,1129663,naar,nasty
37,1120838,weet,know
38,1086524,hier,here
39,1052236,zo,like this
40,1044294,jij,you
41,1042319,kan,can
42,1020815,geen,no
43,994553,nog,yet
44,982006,ja,Yes
45,972927,hem,it
46,969831,heeft,has
47,958539,wel,well
48,957595,moet,must
49,941239,wil,want
50,926997,hebben,to have
51,887819,goed,good
52,867675,haar,her
53,856003,nee,new
54,803291,hoe,how
55,792974,nu,now
56,773738,waar,true
57,746315,over,about
58,734375,ook,also
59,713370,doen,to do
60,700277,uit,from
61,692836,zou,would
62,679718,ga,go
63,674193,of,or
64,671794,gaan,to go
65,669561,bent,are
66,666821,mij,me
67,655438,bij,Bee
68,632609,al,already
69,602876,ons,U.S
70,584503,had,had
71,583350,iets,something
72,581597,daar,there
73,580766,jullie,you
74,569583,gaat,goes
75,568758,zal,shall
76,567079,m,m
77,565918,hebt,have
78,559616,kom,bowl
79,557548,waarom,Why
80,555563,meer,more
81,516044,deze,this
82,472658,moeten,should
83,472001,t,t
84,470609,laat,leave
85,468133,kunnen,can
86,461409,dus,So
87,448182,jou,you
88,439193,denk,think
89,435485,wie,Who
90,426991,alles,everything
91,424799,echt,real
92,418336,doe,do
93,417203,door,by means of
94,407083,alleen,alone
95,401559,s,s
96,392983,toch,However
97,383961,zien,see
98,376436,weg,away
99,371727,eens,once
100,359475,man,man
101,359214,misschien,perhaps
102,353505,laten,to leave
103,350946,nooit,never
104,347555,nou,Well
105,342913,zei,said
106,342296,terug,back
107,341155,oké,Okay
108,336637,mee,along
109,329731,niets,nothing
110,328805,iemand,someone
111,313150,komt,comes
112,312964,toen,then
113,307717,veel,a lot of
114,305017,even,for a bit
115,300608,onze,our
116,295651,gewoon,just
117,293558,weten,know
118,291569,komen,come
119,291351,nodig,required
120,290275,mensen,people
121,288727,tot,until
122,281032,worden,turn into
123,278585,zeggen,say
124,278263,tijd,time
125,276186,weer,again
126,274544,leven,life
127,269781,twee,two
128,266915,net,just
129,265256,tegen,in return for
130,258350,maken,to make
131,257050,uw,your
132,254035,zeg,say
133,252830,omdat,because
134,251543,zit,sit
135,250695,wordt,is becoming
136,249724,z,z
137,247154,hou,keep
138,243303,kijk,look
139,243287,heel,all
140,242654,wij,we
141,234911,altijd,all the time
142,233769,mag,allowed
143,233289,gedaan,done
144,229213,dood,dead
145,228323,zeker,Certainly
146,220034,af,off
147,215656,jaar,year-old
148,215211,hun,their
149,214119,wilde,Savage
150,213062,dag,day
151,210925,allemaal,all of them
152,210824,jouw,your
153,210552,huis,House
154,210182,dacht,thought
155,208207,doet,is doing
156,207641,vader,father
157,204817,kunt,can
158,203442,wacht,wait
159,198787,zie,see
160,198443,vrouw,woman
161,196456,keer,time
162,195409,andere,Others
163,195251,zoals,as
164,193752,zij,she
165,189986,dank,thanks
166,189426,anders,different
167,189089,geef,give
168,188873,waren,goods
169,188572,willen,want
170,187074,zich,himself
171,185125,bedankt,thanks
172,184315,één,An
173,183677,mr,mr
174,183563,erg,terribly
175,182672,wilt,want
176,179721,praten,to talk
177,179198,spijt,regret
178,178884,geld,money
179,178838,kon,could
180,178658,werk,work
181,177930,oh,Oh
182,176789,iedereen,everybody
183,176777,beter,better
184,175810,werd,became
185,174794,moeder,mother
186,174437,niemand,no one
187,173290,vinden,find
188,173184,staat,stands
189,171287,gezien,seen
190,171080,niks,nothing
191,167230,binnen,within
192,167093,zitten,to sit
193,165002,zullen,shall
194,162379,na,after
195,162225,helpen,help out
196,161677,wist,knew
197,159802,vind,find
198,156685,genoeg,enough
199,153660,sorry,Sorry
200,152616,vast,fixed
201,152602,elkaar,each other
202,152470,ging,went
203,151811,uur,o'clock
204,151070,klaar,finished
205,150708,hele,whole
206,149716,neem,take
207,148031,leuk,nice
208,147413,natuurlijk,naturally
209,146723,alle,all
210,145302,god,God
211,144655,maak,make
212,144498,lang,long
213,142612,kwam,came
214,141828,graag,with pleasure
215,141375,hé,Hey
216,141284,toe,toast
217,141271,drie,three
218,140895,zegt,say
219,140818,bedoel,mean
220,139507,deed,did
221,139324,dingen,stuff
222,138947,maakt,make
223,138555,alsjeblieft,please
224,138080,eerste,first
225,137832,krijgen,to get
226,135995,zonder,without
227,135812,steeds,still
228,134987,hallo,Hey
229,134284,houden,to hold
230,134044,vertellen,to tell
231,133855,ziet,sees
232,132998,idee,idea
233,131642,geven,to give
234,131354,achter,behind
235,129097,geweest,been
236,128599,blijven,stay
237,128515,helemaal,all the way
238,127879,mooi,Nice
239,127669,onder,below
240,126801,kijken,to look
241,126486,zag,saw
242,125885,goede,good
243,125347,naam,name
244,125032,moest,had to
245,124084,blijf,stay
246,123657,kun,can
247,123520,auto,car
248,123012,luister,listen
249,122566,grote,great
250,122559,lijkt,seems
251,122260,snel,fast
252,121243,ooit,ever
253,120995,vragen,to ask
254,119519,paar,couple
255,118956,wanneer,when
256,118206,want,because
257,118042,meneer,Sir
258,117799,nieuwe,new ones
259,117783,gebeurd,happened
260,117301,zorgen,to care
261,117110,vriend,friend
262,116575,beetje,bit
263,115945,kinderen,children
264,115234,gek,freak
265,114442,hand,hand
266,113408,vraag,question
267,113141,laatste,last
268,111774,geweldig,awesome
269,111707,hadden,had
270,110112,zelfs,even
271,108971,enige,some
272,108357,bang,anxious
273,107484,nemen,to take
274,106665,samen,together
275,106458,eten,food
276,106208,o,O
277,105869,zelf,yourself
278,104358,hoor,hear
279,104345,geleden,past
280,103274,staan,to stand
281,101957,gevonden,found it
282,101830,jongen,boy
283,100712,denken,think
284,100632,vandaag,Today
285,99598,denkt,think
286,99513,beste,Best
287,98732,gezegd,said
288,98444,thuis,At home
289,98156,wereld,world
290,97813,jongens,boys
291,97706,heen,to
292,96085,ken,know
293,95818,hen,them
